,Test Set Predictions
0,4
1,13
2,0
3,2
4,18
5,17
6,18
7,23
8,22
9,20
10,2
11,9
12,11
13,19
14,4
15,5
16,0
17,8
18,2
19,12
20,16
21,0
22,25
23,17
24,19
25,1
26,21
27,8
28,23
29,0
30,3
31,23
32,10
33,16
34,10
35,23
36,16
37,19
38,15
39,5
40,16
41,11
42,13
43,1
44,7
45,7
46,10
47,14
48,24
49,0
50,7
51,5
52,22
53,20
54,3
55,14
56,25
57,9
58,15
59,14
60,12
61,2
62,11
63,7
64,0
65,6
66,6
67,20
68,12
69,0
70,24
71,22
72,20
73,8
74,21
75,18
76,15
77,17
78,6
79,19
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,Precision
0,0.42857142857142855
1,1.0
2,1.0
3,1.0
4,1.0
5,0.6666666666666666
6,1.0
7,0.25
8,1.0
9,1.0
10,0.3333333333333333
11,1.0
12,0.3333333333333333
13,1.0
14,1.0
15,1.0
16,0.75
17,1.0
18,0.6666666666666666
19,0.5
20,0.75
21,1.0
22,1.0
23,0.5
24,1.0
25,1.0
,Recall
0,0.75
1,1.0
2,1.0
3,0.6666666666666666
4,1.0
5,1.0
6,0.75
7,0.3333333333333333
8,1.0
9,0.5
10,0.3333333333333333
11,0.75
12,0.3333333333333333
13,0.5
14,1.0
15,1.0
16,1.0
17,0.75
18,0.6666666666666666
19,1.0
20,1.0
21,0.6666666666666666
22,1.0
23,1.0
24,0.6666666666666666
25,0.6666666666666666
,f1
0,0.5454545454545454
1,1.0
2,1.0
3,0.8
4,1.0
5,0.8
6,0.8571428571428571
7,0.28571428571428575
8,1.0
9,0.6666666666666666
10,0.3333333333333333
11,0.8571428571428571
12,0.3333333333333333
13,0.6666666666666666
14,1.0
15,1.0
16,0.8571428571428571
17,0.8571428571428571
18,0.6666666666666666
19,0.6666666666666666
20,0.8571428571428571
21,0.8
22,1.0
23,0.6666666666666666
24,0.8
25,0.8
,"0.accuracy, 1.macro avg, 2.weighted avg"
0,0.7625
1,0.7737262737262737
2,0.7708441558441559
